Código UTA 2020;Código UTA 2010
861196515060000;861196515060000
860356382000103;860356382000103
861266200010000;861266200010000
861336529000015;861336529000015
861336557000147;861336557000147
861336555060000;861336555060000
861476565000009;861476565000009
861476578000076;861476578000076
861476579000083;861476579000083
861476585000109;861476585000109
861616590000077;861616590000077
861616594000135;861616594000135
861686604000073;861686604000073
861056187000067;861056187000067
861756613040000;861756613040000
860146325000062;860146325000062
861896620040000;861896620040000
860566405000002;860566405000002
861476564000096;861476564000096
300089035000026;300089035000026
300089035000019;300089035000019
300089035000034;300089035000034
300089035000083;300089035000083
300089035000022;300089035000022
860986505000075;860986505000075
860986505000077;860986505000077
300499310000039;300499310000039
860216024000039;860216024000039
541120501000025;541120501000025
541120501000027;541120501000027
541120501000009;541120501000009
541120501000037;541120501000037
541120501000020;541120501000020
300849670000045;300849670000045
580565161020000;580565161020000
861336528000004;861336528000004
861476576000044;861476576000044
221330473000005;221330473000005
221680473010000;221680473010000
861756606000003;861756606000003
860496403120000;860496403120000
300849655000033;300849655000033
300159055083000;300159055083000
300359210000034;300359210000034
300359210000021;300359210000021
3007000000A18000000;
300499300000024;300499300000024
300709470000079;300709470000079
300779535000A11;
300569335000079;300569335000079
300499305000033;300499305000033
300289145000052;300289145000052
300919830000037;300919830000037
740499014040000;740499014040000
740499014000039;740499014000039
740499014000041;740499014000041
740499014000072;740499014000072
740499014000005;740499014000005
740499014000042;740499014000042
180910188000009;180910188000009
180350059010000;180350059010000
620770228010000;620770228010000
820492808000012;820492808000012
821334188000084;821334188000084
860706431040000;860706431040000
540140050080000;540140035080000
181610399000002;181610399000002
181610399000017;181610399000017
181610399000024;181610399000024
181610399030000;181610399030000
181610399000020;181610399000020
620845154030000;620845154030000
063920392020000;063920392020000
063920392000025;063920392000025
063920392000023;063920392000023
063920392060000;063920392060000
063920392000013;063920392000013
063920392050000;063920392050000
063920392000005;063920392000005
063920392000018;063920392000018
063920392000016;063920392000016
063920392000028;063920392000028
063920392000024;063920392000024
063920392000004;063920392000004
063920392070000;063920392070000
063920392000007;063920392000007
063920392000010;063920392000010
063920392000026;063920392000026
063920392000011;063920392000011
063920392000014;063920392000014
063920392000019;063920392000019
063920392000012;063920392000012
063920392110000;063920392110000
063920392000009;063920392000009
063920392000006;063920392000006
063920392030000;063920392030000
063920392080000;063920392080000
063920392120000;063920392120000
063920392000017;063920392000017
063920392090000;063920392090000
063920392000027;063920392000027
063920392000021;063920392000021
063920392040000;063920392040000
063920392010000;063920392010000
063920392000029;063920392000029
063920392000002;063920392000002
063920392100000;063920392100000
063920392000020;063920392000020
062600260010001;062600260010001
062600260010003;062600260010003
062600260010005;062600260010005
062600260010004;062600260010004
062600260010002;062600260010002
140350252120000;140350252120000
300219100123000;300219100123000
300219100127000;300219100127000
300219100070000;300219100070000
065470547000014;065470547000014
065470547000007;065470547000007
065470547020000;065470547020000
065470547000013;065470547000013
065470547000017;065470547000017
065470547010000;065470547010000
065470547000019;065470547000019
065470547000004;065470547000004
065470547000005;065470547000005
065470547030000;065470547030000
065470547000008;065470547000008
065470547000018;065470547000018
065470547000003;065470547000003
065470547000012;065470547000012
065470547000016;065470547000016
820703260300000;820703260300000
540070028070000;540070028070000
540070028000018;540070028000018
300280133000024;300280133000024
300280133120000;300280133120000
141191036130000;141191036130000
861196511050000;861196511050000
460070007020000;460070007020000
460070007010001;460070007010001
460070007000013;460070007000013
460070007000005;460070007000005
460070007000012;460070007000012
460070007000006;460070007000006
460070007045000;460070007045000
460070007010003;460070007010003
460070007040000;460070007040000
460070007050000;460070007050000
460070007030000;460070007030000
460070007010002;460070007010002
460070007000004;460070007000004
140912490080000;140912490080000
060630063000049;060630063000049
060630063000015;060630063000015
060630063000045;060630063000045
060630063000040;060630063000040
060630063010000;060630063010000
060630063000036;060630063000036
060630063000012;060630063000012
060630063000048;060630063000048
060630063000001;060630063000001
060630063000003;060630063000003
060630063000007;060630063000007
060630063000046;060630063000046
060630063000002;060630063000002
060630063000009;060630063000009
060630063000028;060630063000028
060630063000021;060630063000021
060630063000022;060630063000022
060630063000008;060630063000008
060630063020000;060630063020000
060630063040000;060630063040000
060630063000032;060630063000032
060630063000006;060630063000006
060630063000016;060630063000016
060630063000033;060630063000033
060630063000023;060630063000023
060630063000039;060630063000039
060630063050000;060630063050000
060630063000004;060630063000004
060630063000031;060630063000031
060630063030000;060630063030000
060630063060000;060630063060000
060630063000043;060630063000043
060630063000019;060630063000019
060630063000010;060630063000010
060630063000018;060630063000018
060630063000029;060630063000029
060630063000041;060630063000041
140490371050000;140490371050000
141473085320000;141473085320000
140630504050000;140630504050000
900218175000059;900218175000059
900218175000055;900218175000055
900218175000062;900218175000062
900218175000075;900218175000075
900218175000082;900218175000082
900218175000054;900218175000054
900218175030000;900218175030000
181400350000010;181400350000010
181400350000014;181400350000014
181400350000077;181400350000077
181400350000054;181400350000054
181400350000020;181400350000020
181400350000032;181400350000032
181400350000015;181400350000015
181400350000047;181400350000047
181400350000021;181400350000021
181400350000058;181400350000058
181400350000002;181400350000002
181400350000064;181400350000064
181400350000056;181400350000056
181400350000073;181400350000073
181400350000003;181400350000003
181400350000006;181400350000006
181400350000001;181400350000001
181400350000050;181400350000050
181400350000018;181400350000018
181400350000059;181400350000059
181400350000053;181400350000053
181400350000012;181400350000012
181400350000022;181400350000022
181400350000011;181400350000011
181400350000013;181400350000013
181400350010000;181400350010000
181400350000075;181400350000075
861616245020000;861616245020000
821264107000017;821264107000017
821264107110000;821264107110000
620420140030000;620420140030000
620420140410000;620420140410000
820703253000045;820703253000045
140772427000006;140772427000006
140772427050000;140772427050000
820913631210000;820913631210000
660840210000004;660840210000004
660840210020000;660840210020000
660840210000011;660840210000011
580350077110000;580350077110000
580350077000001;580350077000001
580350077010000;580350077010000
580350077000013;580350077000013
141681519060000;141681519060000
900708378000105;900708378000105
900708378000128;900708378000128
900708378000085;900708378000085
900708378000124;900708378000124
900708378010000;900708378010000
900708378000002;900708378000002
300569320020000;300569320020000
141610000000029;141610000000029
141610000000033;141610000000033
141610000000011;141610000000011
141610000000012;141610000000012
141610000000031;141610000000031
141610000000023;141610000000023
141610000000034;141610000000034
141610000000009;141610000000009
141610000000045;141610000000045
141610000000017;141610000000017
141610000000028;141610000000028
141610000000018;141610000000018
141610000000026;141610000000026
141610000000006;141610000000006
141610000000038;141610000000038
141610000000032;141610000000032
141610000000021;141610000000021
141610000000015;141610000000015
141610000000020;141610000000020
141610000000016;141610000000016
141610000000036;141610000000036
141610000000010;141610000000010
141610000000019;141610000000019
141610000000048;141610000000048
141610000000035;141610000000035
141610000000007;141610000000007
141610000000005;141610000000005
820913610190000;820913610190000
540070021000023;540070021000023
540070021000024;540070021000024
540070021060000;540070021060000
540070021000008;540070021000008
540070021040000;540070021040000
180840175000039;180840175000039
180840175030000;180840175030000
180840175000049;180840175000049
140910714190000;140910714190000
420210336000022;420210336000022
420210336000001;420210336000001
420210336020000;420210336020000
380350126020000;380350126020000
380350126070000;380350126070000
380350126040000;380350126040000
620915252090000;620915252090000
300919790000006;300919790000006
300919790010000;300919790010000
140210154240000;140210154240000
100070021080000;100070021080000
100070021000032;100070021000032
340070000000152;340070000000152
340070000000216;340070000000216
340070000000017;340070000000017
340070000000122;340070000000122
340070000000080;340070000000080
340070000000193;340070000000193
340070000000150;340070000000150
340070000000002;340070000000002
340070000000003;340070000000003
340070000000120;340070000000120
340070000000157;340070000000157
340070000050000;340070000050000
340070000000078;340070000000078
340070000000191;340070000000191
340070000000129;340070000000129
340070000015000;340070000015000
340070000000005;340070000000005
340070000000043;340070000000043
340070000000140;340070000000140
340070000000081;340070000000081
340070000000052;340070000000052
340070000000130;340070000000130
340070000000148;340070000000148
340070000000053;340070000000053
340070000000147;340070000000147
340070000000168;340070000000168
340070000000132;340070000000132
340070000000010;340070000000010
340070000000059;340070000000059
340070000000128;340070000000128
340070000000056;340070000000056
340070000000231;340070000000231
340070000003000;340070000003000
340070000000079;340070000000079
340070000000042;340070000000042
340070000000068;340070000000068
340070000000024;340070000000024
340070000000126;340070000000126
340070000000166;340070000000166
340070000000240;340070000000240
340070000000058;340070000000058
340070000000099;340070000000099
340070000000131;340070000000131
340070000007000;340070000007000
340070000000135;340070000000135
340070000000050;340070000000050
340070000000070;340070000000070
340070000000217;340070000000217
340070000000159;340070000000159
340070000000160;340070000000160
340070000000209;340070000000209
340070000000204;340070000000204
340070000000036;340070000000036
340070000000071;340070000000071
340070000000086;340070000000086
340070000000151;340070000000151
340070000000030;340070000000030
340070000000226;340070000000226
340070000000035;340070000000035
340070000000083;340070000000083
340070000000141;340070000000141
340070000000123;340070000000123
340070000000219;340070000000219
340070000000105;340070000000105
340070000000082;340070000000082
340070000000038;340070000000038
340070000000041;340070000000041
340070000000232;340070000000232
340070000000228;340070000000228
340070000000218;340070000000218
340070000000171;340070000000171
340070000000118;340070000000118
340070000000223;340070000000223
340070000000163;340070000000163
340070000005000;340070000005000
340070000000188;340070000000188
340070000000210;340070000000210
340070000000142;340070000000142
340070000000100;340070000000100
340070000000037;340070000000037
340070000000009;340070000000009
340070000000055;340070000000055
340070000000031;340070000000031
340070000000060;340070000000060
340070000000164;340070000000164
340070000000185;340070000000185
340070000000211;340070000000211
340070000000104;340070000000104
340070000000015;340070000000015
340070000000194;340070000000194
340070000000051;340070000000051
340070000000155;340070000000155
340070000000239;340070000000239
340070000000121;340070000000121
340070000000220;340070000000220
340070000000213;340070000000213
340070000000198;340070000000198
340070000000162;340070000000162
340070000000065;340070000000065
340070000000116;340070000000116
340070000000146;340070000000146
340070000000186;340070000000186
340070000000045;340070000000045
340070000000227;340070000000227
340070000000049;340070000000049
340070000000172;340070000000172
340070000000115;340070000000115
300849750240000;300849750240000
340350126080000;340350126080000
740210038000074;740210038000074
740210038000045;740210038000045
740210038025000;740210038025000
740210038000035;740210038000035
140420343140000;140420343140000
220140070070000;220140070070000
100070007040000;100070007040000
300289150000016;300289150000016
300289150000018;300289150000018
900980105000177;900980105000177
900980105000134;900980105000134
900980105000130;900980105000130
900980105000064;900980105000064
900980105040000;900980105040000
180560105020000;180560105020000
580420105000002;580420105000002
580420105020000;580420105020000
580420105000009;580420105000009
821123932100000;821123932100000
821123932000029;821123932000029
821123932000009;821123932000009
821123932000034;821123932000034
820212329320000;820212329320000
620910000000021;620910000000021
620910000000047;620910000000047
620910000000015;620910000000015
620910000000006;620910000000006
620910000000029;620910000000029
620910000080000;620910000080000
660070028000190;660070028000190
660070028000340;660070028000340
660070028000058;660070028000058
660070028000489;660070028000489
660070028000403;660070028000403
660070028000171;660070028000171
660070028000496;660070028000496
660070028000181;660070028000181
660070028000146;660070028000146
660070028000408;660070028000408
660070028000139;660070028000139
660070028000344;660070028000344
660070028000066;660070028000066
660070028000331;660070028000331
