Nombre;Latitud;Longitud
LA MEDIA LUNA;-25,21269257;-60,86084485
1° DE MAYO;-25,70413822;-61,03150273
PASO DE LA CRUZ;-25,261796;-61,077585
LOTE 76;-25,64150311;-60,94504947
SANTA VICTORIA;-25,49600545;-60,88939415
PALO MARCADO;-25,40479727;-60,72863653
TECHAT;-25,5470688;-60,89402839
LOTE 71;-25,64258329;-60,90438038
LAS PUERTAS;-25,56643558;-61,1574206
POZO LA GRINGA;-25,31637282;-60,98444243
EL CAÑON;-25,73502646;-60,93668274
LAS HACHERAS;-25,38985562;-60,98859001
LOS QUIRQUINCHOS;-25,69693056;-60,91709913
YAPEYU;-25,70813821;-60,86591955
LA CHEOGUE;-25,55177083;-60,84266062
NUEVA UNION;-25,73468399;-61,01153946
BAJADA ALTA;-25,38190432;-60,89279357
EL ALGARROBO;-25,64563602;-61,17321768
BAJO HONDO;-25,12210071;-61,20002338
EL QUEBRACHO BALEADO;-25,35582874;-60,92049036
SAN LORENZO;-25,69571207;-61,09074212
LOS ROSALES;-25,31201469;-61,17818046
LAS CHACRAS;-31,29150447;-64,11661497
EL VERGEL;-31,25832604;-64,07463455
ESTACION COLONIA TIROLESA;-31,27355505;-64,01505457
EL QUEBRACHAL;-31,32159419;-64,0603629
COLONIA LOS ALGARROBOS;-31,25624481;-63,95340394
LA CORINA;-31,297188;-64,1435174
COLONIA RIO CHICO;-31,27216339;-64,02657318
COLONIA TIROLESA;-31,23578593;-64,0672541
SANTA ELENA;-31,2593058;-64,07531896
LA PUERTA;-31,14193006;-64,04021882
LAS AVISPAS;-29,8953128;-61,29119925
LABORDEBOY;-33,71965275;-61,31492082
GENERAL GELLY;-33,60184349;-60,59893835
CAMPO FONDATO;-33,61101643;-60,52599159
CAMPO GHIANO;-32,2424536;-61,6430165
CAMPO ULLA;-32,2633379;-61,75813468
EL TREBOL;-32,20302425;-61,70289449
CAMPO RIBERI;-32,23693962;-61,58475561
POTRERILLOS;-26,07097244;-65,47533417
EL JARDIN;-26,09388342;-65,41384156
LOZADA;-31,64845453;-64,08997961
SALSIPUEDES;-31,13492693;-64,28733311
LA ESTANCITA;-31,11397871;-64,36599191
EL PUEBLITO;-31,10655641;-64,29719451
LA JAULA;-34,66436573;-69,3184
CAPIZ;-33,67094361;-68,98052274
SAN CARLOS;-33,77444946;-69,04909092
PAREDITAS;-33,9452563;-69,0824859
CHILECITO;-33,8934021;-69,08046336
EL PARRAL;-34,01152039;-69,14201355
PIEDRAS BLANCAS;-33,97281823;-69,10149772
TRES ESQUINAS;-33,82490815;-69,05606379
LA CONSULTA;-33,73867574;-69,12812557
BARRIO EL CEPILLO;-33,83865338;-69,13034972
PASO DE LAS CARRETAS;-34,01655321;-69,03218549
EUGENIO BUSTOS;-33,78502245;-69,07290453
EL CAPACHO;-33,66641784;-69,04254797
BARRIO CARRASCO;-33,83210661;-69,04900321
LOS ALAMITOS;-34,05994415;-69,11838532
VILLA EL CHACON;-33,736912;-69,07205059
CAMPAMENTO VILLEGAS;-43,48353195;-66,1457901
SANTA TERESA;-33,43854716;-60,79115428
FRANCISCO PAZ;-33,41881437;-60,86666809
CHACHARRAMENDI;-37,33181478;-65,6507728
VALLE DAZA;-37,06991196;-65,42455292
BARRIO CHIVILCOY;-33,04114674;-68,35415274
EL DIVISADERO;-32,86852992;-68,32065226
BUEN ORDEN;-33,09678674;-68,4308212
MONTECASEROS;-33,01099664;-68,39368013
BARRIO LA ESTACION;-33,15529016;-68,35436216
CHAPANAY;-32,98011773;-68,47652538
BARRIO NTRA. SRA. DE FATIMA;-33,13097148;-68,35127798
TRES PORTEÑAS;-32,89948018;-68,39909629
CHIVILCOY;-33,03833558;-68,45940294
BARRIO LOS CHARABONES;-32,97851157;-68,30510182
ALTO VERDE;-33,11950374;-68,4180219
CIUDAD DE SAN MARTIN;-33,0732178;-68,46051255
EL RAMBLON;-33,16177097;-68,29548443
BARRIO EMANUEL;-32,8468556;-68,41001992
VILLA CENTENARIO;-33,08588791;-68,44897461
EL ESPINO;-33,07733306;-68,39828382
PALMIRA;-33,04999328;-68,54908968
NUEVA CALIFORNIA;-32,74506061;-68,3354508
TRES ESQUINAS;-33,02001674;-68,39828469
ALTO SALVADOR;-33,03597168;-68,47084072
COLONIA LAMBARE;-33,05376906;-68,2770029
EL RINCON;-42,51882779;-71,43841284
EL BLANCO;-42,46413206;-71,44447184
EL CAJON;-42,46782455;-71,35736019
CHOLILA;-42,51053137;-71,43515483
